Easy Access to Juvenile Court Statistics

Demographic characteristics of cases handled by juvenile courts
Year	Total	12 & under	13 to 15	16	17 & over	Male	Female	White	Minority	Black	American Indian	Asian/NHPI	
1985	1,159,400	137,300	568,300	259,300	194,500	936,000	223,400	848,700	310,700	280,600	19,900	10,200	
1986	1,209,100	131,500	583,600	283,300	210,700	974,900	234,300	872,800	336,300	305,500	19,900	10,800	
1987	1,208,500	139,800	564,500	288,500	215,700	972,400	236,100	860,400	348,100	315,700	20,300	12,100	
1988	1,219,800	143,000	568,200	276,400	232,300	983,500	236,300	842,900	376,800	343,900	19,800	13,100	
1989	1,246,400	154,600	595,200	275,100	221,400	1,006,500	239,900	853,300	393,100	357,300	22,500	13,300	
1990	1,321,300	163,000	644,600	289,200	224,500	1,063,200	258,100	896,400	424,900	389,900	20,400	14,500	
1991	1,444,000	180,300	710,900	314,900	237,900	1,162,300	281,700	970,100	473,900	428,300	26,100	19,500	
1992	1,518,900	187,700	756,000	323,100	252,100	1,216,200	302,700	1,021,300	497,600	448,700	28,300	20,600	
1993	1,575,800	180,100	793,100	342,100	260,400	1,247,500	328,300	1,052,800	522,900	477,000	25,000	21,000	
1994	1,710,600	190,000	863,900	376,300	280,500	1,340,600	370,100	1,143,700	566,900	514,700	28,700	23,400	
1995	1,825,900	201,300	915,700	404,200	304,600	1,416,200	409,700	1,226,200	599,700	550,600	26,000	23,100	
1996	1,869,700	192,300	923,000	433,500	321,000	1,441,200	428,500	1,264,900	604,900	552,300	28,300	24,200	
1997	1,875,000	193,800	907,200	438,200	335,800	1,431,100	443,900	1,265,100	609,800	556,500	28,600	24,700	
1998	1,800,600	187,200	862,800	417,200	333,400	1,361,700	438,800	1,233,800	566,800	513,900	29,700	23,200	
1999	1,732,900	186,100	824,800	401,600	320,400	1,305,500	427,400	1,182,000	550,900	501,400	27,300	22,200	
2000	1,703,700	186,200	806,500	387,200	323,900	1,270,400	433,300	1,160,800	543,000	494,100	25,700	23,200	
2001	1,679,900	186,300	797,000	385,700	311,000	1,242,500	437,400	1,140,600	539,300	490,000	25,400	23,900	
2002	1,669,900	178,500	793,200	385,300	312,900	1,225,900	444,000	1,123,000	546,900	497,100	26,500	23,300	
2003	1,674,000	170,300	801,600	382,900	319,100	1,226,900	447,100	1,112,700	561,300	512,200	25,400	23,600	
2004	1,675,000	159,000	808,400	389,400	318,200	1,218,400	456,500	1,095,000	580,000	530,900	25,500	23,600	
2005	1,678,100	146,700	815,200	394,100	322,100	1,216,600	461,600	1,071,100	607,100	559,400	24,200	23,500	
2006	1,626,900	133,200	774,700	395,400	323,600	1,194,800	432,000	1,030,200	596,700	550,600	23,100	22,900	
2007	1,628,900	125,600	757,500	405,600	340,300	1,188,000	440,800	1,030,600	598,200	553,600	22,900	21,700	
2008	1,608,500	119,200	732,000	407,000	350,300	1,168,400	440,100	1,014,100	594,400	550,600	21,900	21,800	
2009	1,480,700	109,700	661,600	379,800	329,600	1,067,100	413,500	936,600	544,100	503,000	20,700	20,500	
2010	1,355,500	106,100	603,500	345,400	300,600	974,300	381,200	864,700	490,800	452,500	19,900	18,400	
2011	1,238,500	101,200	552,600	311,100	273,700	891,700	346,800	789,900	448,600	413,200	18,700	16,800	
2012	1,143,100	97,400	513,700	284,500	247,500	821,200	321,900	724,600	418,500	385,500	18,100	15,000	
2013	1,058,500	89,400	474,500	259,800	234,700	764,800	293,700	654,200	404,300	374,100	17,000	13,200	
Note: The estimates in this table are rounded to the nearest 100.
Suggested citation: Sickmund, M., Sladky, A., and Kang, W. (2015). "Easy Access to Juvenile Court Statistics: 1985-2013."Online. Available: 
 http://www.ojjdp.gov/ojstatbb/ezajcs/
