"Easy Access to Juvenile Populations"
"Table:    United States:  Year by Sex Population Estimates"
"Selecting:"
"    Year = 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012"
"    Age = 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17"

"counts","Male","Female","Total",
"1994","35184740","33456202","68640942",
"1995","35614072","33859079","69473151",
"1996","36006261","34227259","70233520",
"1997","36357381","34563373","70920754",
"1998","36621009","34810415","71431424",
"1999","36883518","35062546","71946064",
"2000","37099200","35276989","72376189",
"2001","37236342","35434833","72671175",
"2002","37359836","35576621","72936457",
"2003","37434830","35665928","73100758",
"2004","37528949","35768786","73297735",
"2005","37641020","35882649","73523669",
"2006","37755463","36002251","73757714",
"2007","37883878","36135527","74019405",
"2008","37916863","36187739","74104602",
"2009","37924258","36209909","74134167",
"2010","37910429","36212606","74123035",
"2011","37788388","36128702","73917090",
"2012","37667423","36042649","73710072",
"Total","705813860","672504063","1378317923",

"Suggested Citation: Puzzanchera, C., Sladky, A. and Kang, W. (2016). "
"Easy Access to Juvenile Populations: 1990-2015. Online."
"Available: http://www.ojjdp.gov/ojstatbb/ezapop/"
